team,matches,wins,draws,goals_for,goals_against,losses,goal_diff
France,6,6,0,16,2,0,14
Argentina,6,6,0,17,6,0,11
Spain,6,5,1,11,1,0,10
Mexico,5,4,0,10,3,1,7
England,5,4,1,11,5,0,6
Norway,6,4,0,13,11,2,2
Belgium,6,3,2,14,7,1,7
Brazil,5,3,1,10,4,1,6
Colombia,5,3,2,5,1,0,4
Morocco,6,3,2,10,6,1,4
Switzerland,6,3,2,10,6,1,4
USA,5,3,0,11,8,2,3
Germany,4,2,1,11,5,1,6
Netherlands,4,2,2,11,5,0,6
Portugal,5,2,2,8,3,1,5
Canada,5,2,1,9,6,2,3
Croatia,4,2,0,6,7,2,-1
Congo DR,3,1,1,4,3,1,1
Côte d'Ivoire,1,1,0,1,0,0,1
Egypt,5,1,3,8,7,1,1
Senegal,4,1,0,10,9,3,1
Australia,4,1,2,3,3,1,0
Cote d'Ivoire,3,1,0,4,4,2,0
Bosnia and Herzegovina,3,1,1,5,6,1,-1
Ghana,4,1,1,2,3,2,-1
Korea Republic,3,1,0,2,3,2,-1
Ecuador,4,1,1,2,4,2,-2
South Africa,4,1,1,2,4,2,-2
Türkiye,3,1,0,3,5,2,-2
Austria,4,1,1,6,9,2,-3
Paraguay,5,1,2,3,6,2,-3
Scotland,3,1,0,1,4,2,-3
Sweden,4,1,1,7,10,2,-3
Algeria,4,1,1,5,9,2,-4
IR Iran,3,0,3,3,3,0,0
Cabo Verde,4,0,3,4,5,1,-1
Japan,3,0,2,4,5,1,-1
Uruguay,3,0,2,3,4,1,-1
Bosnia And Herzegovina,1,0,0,0,2,1,-2
Czechia,3,0,1,2,6,2,-4
Panama,3,0,0,0,4,3,-4
Saudi Arabia,3,0,2,1,5,1,-4
Jordan,3,0,0,3,8,3,-5
Haiti,3,0,0,2,8,3,-6
New Zealand,3,0,1,4,10,2,-6
Tunisia,2,0,0,2,8,2,-6
Curacao,3,0,1,1,9,2,-8
Qatar,3,0,1,2,10,2,-8
Uzbekistan,3,0,0,2,11,3,-9
Iraq,3,0,0,1,12,3,-11
